ID_PDV,Provincia,ISTAT,COMUNE,TITOLARE,INDIRIZZO,Settoremerc.non alim.,Sup.alim.,Sup.non alim.,Sup.totale,geo_x,geo_y
5118,BS,17165,RONCADELLE,FAR S.N.C. DI SPADA VIRGILIO,"Via Martiri D. Liberta', 23",C,0,1953,1953,45.5181436055,10.1395680948
10876,MI,15146,MILANO,DE GENNIS PAOLO,Via Adriano Pii Area Marelli Cascina S. Giuseppe,,1512,2901,4413,45.5152578863,9.2428776887
2527,VA,12121,SOLBIATE ARNO,LEROY MERLIN ITALIA SRL,"Via Del Lavoro, 40",D,0,9840,9840,45.7223776632,8.8108915324
8246,BS,17067,DESENZANO DEL GARDA,IL MERCATONE DI DESENZANO SRL,"Via Colombare Di Castiglione, 1",C,0,10361,10361,45.4482364823,10.5218630892
3189,MI,15249,VANZAGHELLO,SUPER CENTRO CALZATURE,Corso Italia 20,A,0,2360,2360,45.597079728,8.7935946422
2917,BS,17103,MANERBIO,CONSORZIO LE ARCATE,"Via Cremona, 10",,1500,2599,4099,45.3457033528,10.1341951759
10318,MI,15169,PAULLO,SOC. PAULLO CENTER SRL,Via Mazzarello,,4140,7860,12000,45.422901608,9.4086500577
6246,BS,17125,ORZINUOVI,METALMARK SRL,"Via Einaudi, 3",,4000,10141,14141,45.4091251612,9.9353796775
12428,VA,12123,SOMMA LOMBARDO,IL GIGANTE S.P.A,"Via Soragna, 1",,1960,7533,9493,45.6805600233,8.7232678706
3020,MB,108049,VILLASANTA,RIALTO SRL,Via Vecellio 1,,3500,9840,13340,45.6190955798,9.3080195415
4159,CO,13041,CANTU',COOP LOMBARDIA,"Viale Lombardia, 68",,4227,9823,14050,45.7173134862,9.1564310605
4502,BG,16024,BERGAMO,S.P.A. AUCHAN,"V. Carducci, 55",,5000,6651,11651,45.687711895,9.6486370384
3358,SO,14048,PIANTEDO,S.C. EVOLUTION,Via La Rosa 354,,3296,10746,14042,46.1407200034,9.4171728585
10276,BS,17077,GAVARDO,BENNET S.P.A.,Via Bruni Conter 2,,2000,9521,11521,45.5776859414,10.4426948492
3,CO,13133,LOMAZZO,FRAMAR SRL,Via Del Seprio 41,,1300,300,1600,45.6997568814,9.024556192
1611,LC,97042,LECCO,GALLERIE COMMERCIALI BENNET S.P.A.,"Via Amendola, 119",,4399,11601,16000,45.8540652899,9.3983206593
8215,MI,15146,MILANO,PALLONI ANTONIO,"P. Frattini, 4",,1800,1210,3010,45.4525601204,9.1428056641
